#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
100000,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100001,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),8))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1501,8,9,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1502,8,9,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,8,9,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100004,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1516,8,9,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100006,"Zeichen des Winds","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei windbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",239,246,1509,-1,0,1,0,False,0,0,100006,0,0,0,0,0,0,0
100007,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1515,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100008,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1517,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100009,"Byregots Benediktion","Die Qualität wird erhöht.
Effizienz: 100 (+ pro Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
weitere 20, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 90 %",240,247,1521,-1,0,1,0,False,0,0,100009,0,0,0,0,0,0,0
100010,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,8,9,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100012,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100013,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100014,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100015,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),9))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1551,9,10,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100016,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",240,247,1552,9,10,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100017,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1952,9,10,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100018,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Veredelung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Bonus: Die HP-Kosten sind auf 18 verringert.",240,247,1566,9,10,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100019,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wieder<SoftHyphen/>her<SoftHyphen/>gestellt.",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100020,"Zeichen des Feuers","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei feuerbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",239,246,1559,-1,0,1,0,False,0,0,100020,0,0,0,0,0,0,0
100021,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",239,246,1565,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100022,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",240,247,1567,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100023,"Beobachten","Wartet für einen Arbeitsschritt ab.",11586,11587,1954,9,10,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100024,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100025,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100026,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100027,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100028,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100029,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100030,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: <If(Equal(PlayerParameter(68),10))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
Erfolgswahrscheinlichkeit: 100 %",239,246,1601,10,11,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
